,Di Marzio Pickups
area j bridge,$89.00
area j neck,$89.00
area j pair,$169.00
dimarzio model j,$169.00
relentless j bass bridge,$109.00
relentless j bass neck,$109.00
relentless j bass pair,$209.00
sixties j bridge,$109.00
sixties j neck,$109.00
sixties j pair,$209.00
ultra jazz bridge,$89.00
ultra jazz neck,$89.00
ultra jazz pair,$169.00
dimarzio model p,$99.00
relentless p,$119.00
relentless middle,$119.00
sixties p,$126.00
split p,$116.00
model one,$120.00
relentless neck,$119.00
