,0
Tastiera Frassino Marezzato Roasted,€ 18.00
Tastiera Hard Maple,€ 18.00
Tastiera Paduok Bariole’,€ 18.00
Tastiera Ulivo,€ 19.00
Tastiera Wenge’,€ 12.00
Tastiera Paduok,€ 16.00
Tastiera Acero Roasted,€ 20.00
Tastiera Acero Marezzato A,€ 15.50
Tastiera Acero Marezzato EX,€ 24.00
Tastiera Ziricote,€ 28.00
Tastiera Ebano Verde,€ 20.00
Tastiera Tanganica Marezzato,€ 15.50
Tastiera Coccobolo 4 corde,€ 21.80
Tastiera Amaranto,€ 17.50
Tastiera Palissandro Santos 4 corde,€ 15.00
Tastiera Palissandro India 4 corde,€ 12.50
Tastiera Ebano Nero Marezzato 4 corde,€ 45.00
Tastiera Ebano Nero A 4 corde,€ 24.00
Tastiera Ebano Nero EX 4 corde,€ 35.00
Tastiera Ebano Venato Africa 4 corde,€ 33.00
